# Double gaussian kernel fit
# initial parameters: I=3.00e-03/3.00e-04, sigma=5.00e+00/5.00e+00, center=5.00e+00/2.00e+01
# final parameters  : I=2.98e-03/2.89e-04, sigma=6.13e+00/2.75e+00, center=7.68e+00/2.31e+01
# RMSE(death vs kernel*case) = 2.50e+01
# time-pt , kernel  , kfitted , deaths  , dfitted 
7.70e+01, 6.52e-07, 5.63e-31, 6.00e+00, 3.80e+00
7.80e+01, 1.40e-06, 8.80e-32, 5.00e+00, 2.97e+00
7.90e+01, 9.96e-07, 1.34e-32, 4.00e+00, 2.30e+00
8.00e+01, 5.99e-08, 1.99e-33, 4.00e+00, 1.77e+00
8.10e+01, 1.32e-07, 2.87e-34, 3.00e+00, 1.36e+00
8.20e+01, -3.68e-07, 4.04e-35, 3.00e+00, 1.04e+00
8.30e+01, -1.68e-07, 5.54e-36, 2.00e+00, 7.96e-01
8.40e+01, -1.39e-07, 7.39e-37, 2.00e+00, 6.06e-01
8.50e+01, -2.54e-07, 9.59e-38, 2.00e+00, 4.61e-01
8.60e+01, -5.42e-07, 1.21e-38, 1.00e+00, 3.49e-01
8.70e+01, -4.17e-08, 1.49e-39, 1.00e+00, 2.65e-01
8.80e+01, 2.35e-07, 1.79e-40, 1.00e+00, 2.00e-01
8.90e+01, 3.13e-07, 2.09e-41, 1.00e+00, 1.51e-01
9.00e+01, 2.49e-07, 2.38e-42, 1.00e+00, 1.13e-01
9.10e+01, 1.15e-07, 2.64e-43, 1.00e+00, 8.48e-02
9.20e+01, -2.00e-08, 2.84e-44, 0.00e+00, 6.33e-02
9.30e+01, -1.11e-07, 2.99e-45, 0.00e+00, 4.71e-02
9.40e+01, -1.40e-07, 3.05e-46, 0.00e+00, 3.48e-02
9.50e+01, -1.14e-07, 3.04e-47, 0.00e+00, 2.57e-02
9.60e+01, -5.69e-08, 2.95e-48, 0.00e+00, 1.88e-02
9.70e+01, 4.39e-09, 2.78e-49, 0.00e+00, 1.38e-02
9.80e+01, 4.84e-08, 2.56e-50, 0.00e+00, 1.00e-02
9.90e+01, 6.51e-08, 2.29e-51, 0.00e+00, 7.29e-03
1.00e+02, 5.64e-08, 2.00e-52, 0.00e+00, 5.29e-03
1.01e+02, 3.18e-08, 1.70e-53, 0.00e+00, 3.82e-03
1.02e+02, 3.78e-09, 1.40e-54, 0.00e+00, 2.74e-03
1.03e+02, -1.78e-08, 1.13e-55, 0.00e+00, 1.92e-03
