# Cauchy kernel fit
# initial parameters: I=3.00e-03, sigma=5.00e+00, center=1.00e+01
# final parameters  : I=3.05e-04, sigma=3.06e-03, center=-1.04e+02
# RMSE(death vs kernel*case) = 4.00e+01
# time-pt , kernel  , kfitted , deaths  , dfitted 
7.80e+01, 1.40e-06, 2.28e-05, 5.00e+00, 1.07e+01
7.90e+01, 9.96e-07, 2.22e-05, 4.00e+00, 9.87e+00
8.00e+01, 5.99e-08, 2.16e-05, 4.00e+00, 9.12e+00
8.10e+01, 1.32e-07, 2.10e-05, 3.00e+00, 8.44e+00
8.20e+01, -3.68e-07, 2.04e-05, 3.00e+00, 7.84e+00
8.30e+01, -1.68e-07, 1.99e-05, 2.00e+00, 7.30e+00
8.40e+01, -1.39e-07, 1.94e-05, 2.00e+00, 6.81e+00
8.50e+01, -2.54e-07, 1.89e-05, 2.00e+00, 6.37e+00
8.60e+01, -5.42e-07, 1.84e-05, 1.00e+00, 5.97e+00
8.70e+01, -4.17e-08, 1.79e-05, 1.00e+00, 5.61e+00
8.80e+01, 2.35e-07, 1.75e-05, 1.00e+00, 5.29e+00
8.90e+01, 3.13e-07, 1.71e-05, 1.00e+00, 4.99e+00
9.00e+01, 2.49e-07, 1.67e-05, 1.00e+00, 4.71e+00
9.10e+01, 1.15e-07, 1.63e-05, 1.00e+00, 4.46e+00
9.20e+01, -2.00e-08, 1.59e-05, 0.00e+00, 4.23e+00
9.30e+01, -1.11e-07, 1.55e-05, 0.00e+00, 4.02e+00
9.40e+01, -1.40e-07, 1.52e-05, 0.00e+00, 3.82e+00
9.50e+01, -1.14e-07, 1.48e-05, 0.00e+00, 3.64e+00
9.60e+01, -5.69e-08, 1.45e-05, 0.00e+00, 3.47e+00
9.70e+01, 4.39e-09, 1.42e-05, 0.00e+00, 3.31e+00
9.80e+01, 4.84e-08, 1.38e-05, 0.00e+00, 3.17e+00
9.90e+01, 6.51e-08, 1.35e-05, 0.00e+00, 3.03e+00
1.00e+02, 5.64e-08, 1.33e-05, 0.00e+00, 2.90e+00
1.01e+02, 3.18e-08, 1.30e-05, 0.00e+00, 2.78e+00
1.02e+02, 3.78e-09, 1.27e-05, 0.00e+00, 2.67e+00
1.03e+02, -1.78e-08, 1.24e-05, 0.00e+00, 2.56e+00
