# Single gaussian kernel fit
# initial parameters: I=3.00e-03, sigma=5.00e+00, center=1.00e+01
# final parameters  : I=2.93e-03, sigma=6.39e+00, center=7.79e+00
# RMSE(death vs kernel*case) = 2.85e+01
# time-pt , kernel  , kfitted , deaths  , dfitted 
7.80e+01, 1.40e-06, 1.85e-29, 5.00e+00, 1.83e+00
7.90e+01, 9.96e-07, 3.28e-30, 4.00e+00, 1.41e+00
8.00e+01, 5.99e-08, 5.68e-31, 4.00e+00, 1.08e+00
8.10e+01, 1.32e-07, 9.58e-32, 3.00e+00, 8.23e-01
8.20e+01, -3.68e-07, 1.58e-32, 3.00e+00, 6.28e-01
8.30e+01, -1.68e-07, 2.53e-33, 2.00e+00, 4.78e-01
8.40e+01, -1.39e-07, 3.97e-34, 2.00e+00, 3.63e-01
8.50e+01, -2.54e-07, 6.08e-35, 2.00e+00, 2.75e-01
8.60e+01, -5.42e-07, 9.07e-36, 1.00e+00, 2.08e-01
8.70e+01, -4.17e-08, 1.32e-36, 1.00e+00, 1.57e-01
8.80e+01, 2.35e-07, 1.88e-37, 1.00e+00, 1.18e-01
8.90e+01, 3.13e-07, 2.61e-38, 1.00e+00, 8.87e-02
9.00e+01, 2.49e-07, 3.53e-39, 1.00e+00, 6.63e-02
9.10e+01, 1.15e-07, 4.66e-40, 1.00e+00, 4.93e-02
9.20e+01, -2.00e-08, 6.01e-41, 0.00e+00, 3.65e-02
9.30e+01, -1.11e-07, 7.56e-42, 0.00e+00, 2.68e-02
9.40e+01, -1.40e-07, 9.28e-43, 0.00e+00, 1.95e-02
9.50e+01, -1.14e-07, 1.11e-43, 0.00e+00, 1.41e-02
9.60e+01, -5.69e-08, 1.30e-44, 0.00e+00, 1.01e-02
9.70e+01, 4.39e-09, 1.48e-45, 0.00e+00, 7.12e-03
9.80e+01, 4.84e-08, 1.65e-46, 0.00e+00, 4.97e-03
9.90e+01, 6.51e-08, 1.79e-47, 0.00e+00, 3.42e-03
1.00e+02, 5.64e-08, 1.90e-48, 0.00e+00, 2.32e-03
1.01e+02, 3.18e-08, 1.96e-49, 0.00e+00, 1.55e-03
1.02e+02, 3.78e-09, 1.98e-50, 0.00e+00, 1.02e-03
1.03e+02, -1.78e-08, 1.95e-51, 0.00e+00, 6.56e-04
