# Double gaussian kernel fit
# initial parameters: I=3.00e-03/3.00e-04, sigma=5.00e+00/5.00e+00, center=5.00e+00/2.00e+01
# final parameters  : I=3.14e-03/2.38e-04, sigma=5.39e+00/3.43e+00, center=7.13e+00/2.30e+01
# RMSE(death vs kernel*case) = 2.36e+01
# time-pt , kernel  , kfitted , deaths  , dfitted 
7.70e+01, 2.73e-07, 9.00e-40, 1.22e+02, 1.21e+02
7.80e+01, -1.61e-06, 7.96e-41, 1.23e+02, 1.23e+02
7.90e+01, -1.83e-06, 6.80e-42, 1.23e+02, 1.22e+02
8.00e+01, -1.88e-06, 5.61e-43, 1.21e+02, 1.20e+02
8.10e+01, -1.62e-06, 4.47e-44, 1.17e+02, 1.17e+02
8.20e+01, -1.16e-06, 3.44e-45, 1.12e+02, 1.12e+02
8.30e+01, -8.04e-07, 2.56e-46, 1.06e+02, 1.06e+02
8.40e+01, 4.06e-07, 1.84e-47, 9.90e+01, 9.95e+01
8.50e+01, 7.30e-07, 1.28e-48, 9.20e+01, 9.23e+01
8.60e+01, 1.09e-06, 8.59e-50, 8.50e+01, 8.47e+01
8.70e+01, 1.07e-06, 5.57e-51, 7.70e+01, 7.71e+01
8.80e+01, 2.64e-07, 3.49e-52, 6.90e+01, 6.95e+01
8.90e+01, 2.40e-07, 2.11e-53, 6.20e+01, 6.22e+01
9.00e+01, -1.41e-07, 1.23e-54, 5.50e+01, 5.53e+01
9.10e+01, -6.32e-08, 6.97e-56, 4.90e+01, 4.89e+01
9.20e+01, -9.74e-08, 3.80e-57, 4.30e+01, 4.30e+01
9.30e+01, -1.96e-07, 2.00e-58, 3.80e+01, 3.76e+01
9.40e+01, -3.48e-07, 1.02e-59, 3.30e+01, 3.27e+01
9.50e+01, -5.65e-07, 5.02e-61, 2.90e+01, 2.84e+01
9.60e+01, -2.03e-07, 2.39e-62, 2.50e+01, 2.45e+01
9.70e+01, 5.66e-08, 1.10e-63, 2.10e+01, 2.10e+01
9.80e+01, 2.08e-07, 4.87e-65, 1.80e+01, 1.80e+01
9.90e+01, 2.59e-07, 2.09e-66, 1.60e+01, 1.53e+01
1.00e+02, 2.33e-07, 8.64e-68, 1.40e+01, 1.29e+01
1.01e+02, 1.58e-07, 3.46e-69, 1.20e+01, 1.09e+01
1.02e+02, 6.39e-08, 1.34e-70, 1.00e+01, 9.11e+00
1.03e+02, -2.22e-08, 4.99e-72, 9.00e+00, 7.58e+00
1.04e+02, -8.29e-08, 1.80e-73, 7.00e+00, 6.28e+00
1.05e+02, -1.10e-07, 6.28e-75, 6.00e+00, 5.17e+00
1.06e+02, -1.06e-07, 2.11e-76, 5.00e+00, 4.24e+00
1.07e+02, -7.81e-08, 6.88e-78, 5.00e+00, 3.46e+00
1.08e+02, -3.84e-08, 2.16e-79, 4.00e+00, 2.81e+00
1.09e+02, 1.46e-09, 6.57e-81, 3.00e+00, 2.28e+00
1.10e+02, 3.23e-08, 1.93e-82, 3.00e+00, 1.84e+00
1.11e+02, 4.90e-08, 5.46e-84, 2.00e+00, 1.48e+00
1.12e+02, 5.10e-08, 1.50e-85, 2.00e+00, 1.19e+00
1.13e+02, 4.08e-08, 3.96e-87, 2.00e+00, 9.55e-01
1.14e+02, 2.36e-08, 1.01e-88, 1.00e+00, 7.65e-01
1.15e+02, 4.61e-09, 2.50e-90, 1.00e+00, 6.12e-01
1.16e+02, -1.14e-08, 5.96e-92, 1.00e+00, 4.89e-01
1.17e+02, -2.14e-08, 1.37e-93, 1.00e+00, 3.91e-01
1.18e+02, -2.45e-08, 3.06e-95, 1.00e+00, 3.12e-01
1.19e+02, -2.14e-08, 6.58e-97, 1.00e+00, 2.49e-01
1.20e+02, -1.42e-08, 1.37e-98, 1.00e+00, 1.98e-01
1.21e+02, -5.29e-09, 2.75e-100, 0.00e+00, 1.57e-01
1.22e+02, 2.97e-09, 5.33e-102, 0.00e+00, 1.25e-01
1.23e+02, 8.88e-09, 9.99e-104, 0.00e+00, 9.88e-02
1.24e+02, 1.16e-08, 1.81e-105, 0.00e+00, 7.80e-02
1.25e+02, 1.13e-08, 3.17e-107, 0.00e+00, 6.13e-02
1.26e+02, 8.52e-09, 5.35e-109, 0.00e+00, 4.79e-02
1.27e+02, 4.45e-09, 8.74e-111, 0.00e+00, 3.73e-02
1.28e+02, 1.93e-10, 1.38e-112, 0.00e+00, 2.88e-02
1.29e+02, -3.33e-09, 2.10e-114, 0.00e+00, 2.21e-02
1.30e+02, -5.51e-09, 3.09e-116, 0.00e+00, 1.69e-02
