# 4-gaussian kernel fit
# initial parameters: I=3.00e-04/3.00e-03/3.00e-04/1.00e-04, sigma=5.00e+00/5.00e+00/5.00e+00/5.00e+00, center=0.00e+00/5.00e+00/2.00e+01/2.00e+01
# final parameters  : I=1.17e-04/2.99e-03/1.53e-04/2.05e-04, sigma=4.49e+00/4.97e+00/2.84e+00/1.39e+01, center=-7.64e+00/7.20e+00/2.22e+01/7.77e+00
# RMSE(death vs kernel*case) = 2.95e+00
# time-pt , kernel  , kfitted , deaths  , dfitted 
7.50e+01, 3.23e-06, 1.69e-09, 1.16e+02, 1.15e+02
7.60e+01, 1.51e-06, 1.19e-09, 1.20e+02, 1.19e+02
7.70e+01, 2.73e-07, 8.31e-10, 1.22e+02, 1.22e+02
7.80e+01, -1.61e-06, 5.79e-10, 1.23e+02, 1.23e+02
7.90e+01, -1.83e-06, 4.02e-10, 1.23e+02, 1.22e+02
8.00e+01, -1.88e-06, 2.77e-10, 1.21e+02, 1.20e+02
8.10e+01, -1.62e-06, 1.90e-10, 1.17e+02, 1.17e+02
8.20e+01, -1.16e-06, 1.30e-10, 1.12e+02, 1.12e+02
8.30e+01, -8.04e-07, 8.80e-11, 1.06e+02, 1.06e+02
8.40e+01, 4.06e-07, 5.95e-11, 9.90e+01, 9.95e+01
8.50e+01, 7.30e-07, 4.00e-11, 9.20e+01, 9.22e+01
8.60e+01, 1.09e-06, 2.67e-11, 8.50e+01, 8.46e+01
8.70e+01, 1.07e-06, 1.78e-11, 7.70e+01, 7.69e+01
8.80e+01, 2.64e-07, 1.18e-11, 6.90e+01, 6.94e+01
8.90e+01, 2.40e-07, 7.74e-12, 6.20e+01, 6.21e+01
9.00e+01, -1.41e-07, 5.07e-12, 5.50e+01, 5.52e+01
9.10e+01, -6.32e-08, 3.30e-12, 4.90e+01, 4.89e+01
9.20e+01, -9.74e-08, 2.14e-12, 4.30e+01, 4.30e+01
9.30e+01, -1.96e-07, 1.38e-12, 3.80e+01, 3.77e+01
9.40e+01, -3.48e-07, 8.85e-13, 3.30e+01, 3.29e+01
9.50e+01, -5.65e-07, 5.64e-13, 2.90e+01, 2.86e+01
9.60e+01, -2.03e-07, 3.58e-13, 2.50e+01, 2.48e+01
9.70e+01, 5.66e-08, 2.26e-13, 2.10e+01, 2.15e+01
9.80e+01, 2.08e-07, 1.42e-13, 1.80e+01, 1.85e+01
9.90e+01, 2.59e-07, 8.88e-14, 1.60e+01, 1.60e+01
1.00e+02, 2.33e-07, 5.52e-14, 1.40e+01, 1.37e+01
