# Cauchy kernel fit
# initial parameters: I=3.00e-03, sigma=5.00e+00, center=1.00e+01
# final parameters  : I=3.40e-03, sigma=5.19e+00, center=7.19e+00
# RMSE(death vs kernel*case) = 3.97e+01
# time-pt , kernel  , kfitted , deaths  , dfitted 
7.80e+01, -1.61e-06, 1.82e-05, 1.23e+02, 1.22e+02
7.90e+01, -1.83e-06, 1.77e-05, 1.23e+02, 1.21e+02
8.00e+01, -1.88e-06, 1.72e-05, 1.21e+02, 1.19e+02
8.10e+01, -1.62e-06, 1.67e-05, 1.17e+02, 1.16e+02
8.20e+01, -1.16e-06, 1.63e-05, 1.12e+02, 1.11e+02
8.30e+01, -8.04e-07, 1.59e-05, 1.06e+02, 1.06e+02
8.40e+01, 4.06e-07, 1.55e-05, 9.90e+01, 9.92e+01
8.50e+01, 7.30e-07, 1.51e-05, 9.20e+01, 9.24e+01
8.60e+01, 1.09e-06, 1.47e-05, 8.50e+01, 8.53e+01
8.70e+01, 1.07e-06, 1.43e-05, 7.70e+01, 7.81e+01
8.80e+01, 2.64e-07, 1.40e-05, 6.90e+01, 7.11e+01
8.90e+01, 2.40e-07, 1.36e-05, 6.20e+01, 6.44e+01
9.00e+01, -1.41e-07, 1.33e-05, 5.50e+01, 5.80e+01
9.10e+01, -6.32e-08, 1.30e-05, 4.90e+01, 5.21e+01
9.20e+01, -9.74e-08, 1.27e-05, 4.30e+01, 4.67e+01
9.30e+01, -1.96e-07, 1.24e-05, 3.80e+01, 4.17e+01
9.40e+01, -3.48e-07, 1.21e-05, 3.30e+01, 3.72e+01
9.50e+01, -5.65e-07, 1.18e-05, 2.90e+01, 3.32e+01
9.60e+01, -2.03e-07, 1.16e-05, 2.50e+01, 2.97e+01
9.70e+01, 5.66e-08, 1.13e-05, 2.10e+01, 2.65e+01
9.80e+01, 2.08e-07, 1.11e-05, 1.80e+01, 2.37e+01
9.90e+01, 2.59e-07, 1.08e-05, 1.60e+01, 2.12e+01
1.00e+02, 2.33e-07, 1.06e-05, 1.40e+01, 1.90e+01
1.01e+02, 1.58e-07, 1.04e-05, 1.20e+01, 1.71e+01
1.02e+02, 6.39e-08, 1.02e-05, 1.00e+01, 1.54e+01
1.03e+02, -2.22e-08, 9.95e-06, 9.00e+00, 1.40e+01
1.04e+02, -8.29e-08, 9.75e-06, 7.00e+00, 1.27e+01
1.05e+02, -1.10e-07, 9.55e-06, 6.00e+00, 1.15e+01
1.06e+02, -1.06e-07, 9.36e-06, 5.00e+00, 1.05e+01
1.07e+02, -7.81e-08, 9.17e-06, 5.00e+00, 9.61e+00
1.08e+02, -3.84e-08, 8.99e-06, 4.00e+00, 8.82e+00
1.09e+02, 1.46e-09, 8.82e-06, 3.00e+00, 8.11e+00
1.10e+02, 3.23e-08, 8.65e-06, 3.00e+00, 7.49e+00
1.11e+02, 4.90e-08, 8.48e-06, 2.00e+00, 6.93e+00
1.12e+02, 5.10e-08, 8.32e-06, 2.00e+00, 6.44e+00
1.13e+02, 4.08e-08, 8.16e-06, 2.00e+00, 5.99e+00
1.14e+02, 2.36e-08, 8.01e-06, 1.00e+00, 5.59e+00
1.15e+02, 4.61e-09, 7.86e-06, 1.00e+00, 5.23e+00
1.16e+02, -1.14e-08, 7.72e-06, 1.00e+00, 4.90e+00
1.17e+02, -2.14e-08, 7.58e-06, 1.00e+00, 4.61e+00
1.18e+02, -2.45e-08, 7.45e-06, 1.00e+00, 4.34e+00
1.19e+02, -2.14e-08, 7.31e-06, 1.00e+00, 4.09e+00
1.20e+02, -1.42e-08, 7.18e-06, 1.00e+00, 3.87e+00
1.21e+02, -5.29e-09, 7.06e-06, 0.00e+00, 3.66e+00
1.22e+02, 2.97e-09, 6.94e-06, 0.00e+00, 3.47e+00
1.23e+02, 8.88e-09, 6.82e-06, 0.00e+00, 3.30e+00
1.24e+02, 1.16e-08, 6.70e-06, 0.00e+00, 3.14e+00
1.25e+02, 1.13e-08, 6.59e-06, 0.00e+00, 2.99e+00
1.26e+02, 8.52e-09, 6.48e-06, 0.00e+00, 2.85e+00
1.27e+02, 4.45e-09, 6.37e-06, 0.00e+00, 2.72e+00
1.28e+02, 1.93e-10, 6.27e-06, 0.00e+00, 2.60e+00
1.29e+02, -3.33e-09, 6.16e-06, 0.00e+00, 2.49e+00
1.30e+02, -5.51e-09, 6.06e-06, 0.00e+00, 2.39e+00
